# RA AGN survey catalog ver 0.15
# Created on 2021-04-16 09:59:31 UTC
#
# Table columns description:
#  1. source   : B1950 source name
#  2. j2000    : J2000 source name
#  3. exper    : Experement code
#  4. date     : Experiment nominal start date
#  5. time     : Experiment nominal start time
#  6. band     : Frequency band code
#  7. polar    : Polarization
#  8. sta1     : First station name
#  9. sta2     : Second station name
# 10. elev1    : Source elevation at station one
# 11. elev2    : Source elevation at station two
# 12. snr      : Mean value of SNR
# 13. base_ml  : Baseline projection in Mega lambda
# 14. base_cm  : Baseline projection in centimeters
# 15. pa       : Baseline position angle in degrees
# 16. ampl     : Average correlated flux density in Jy
# 17. ampl_err : Correlated flux density error in Jy
# 18. coeff    : Flux density correction coefficient for coherent losses compensation
# 19. solint   : Mean value of the fringe fitting solution interval in seconds
# 20. data_len : Total data length used for correlated flux density calculation in seconds
#
#  Detection status of each observation is determined by signal-to-noise ratio
#  (SNR) and Probability of False Detection (PFD).
#
#    * SNR >= SNR(PFD=1e-4): "Yes"
#    * SNR >= SNR(PFD=1e-3) and delay < 0.5 ms and rate < 1e-12 s/s : "Yes"
#    * SNR(PFD=1e-2) <= SNR < SNR(PFD=1e-4): "Uncertain"
#    * SNR < SNR(PFD=1e-2): "No"
#
#  For RA AGN survey catalog only observations with status "Yes" is used.
#
#  Changes:
#  * 0.10
#    - Initial version.
#  * 0.11
#    - Split date-time column to two separate columns.
#  * 0.12
#    - PIMA 2.25: massive changes in handling bandpass computation, bandpass
#      normalization and re-normalization.
#  * 0.13
#    - Add column with J2000 source name.
#  * 0.14
#    - New bandpass calibration parameters: only phase solution with linear
#      interpolation.
#  * 0.15
#    - Add column names.
#
#
  source      j2000    exper       date     time band polar     sta1     sta2 elev1 elev2     snr base_ml   base_cm     pa   ampl ampl_err  coeff  solint  data_len
#0657+172 J0700+1709 rags28au 2018-02-18 15:20:00    L    LL TIDBIN64    TORUN  11.1  26.7   574.9    65.6 1.190e+09  -43.3 0.0000   0.0000 1.0000       0         0
0657+172 J0700+1709 rags28au 2018-02-18 15:20:01    C    RR IRBENE16 MEDICINA  27.8  22.4   104.6    24.4 1.516e+08 -121.2 0.3908   0.0088 1.0000      60      1190
0657+172 J0700+1709 rags28au 2018-02-18 15:20:01    C    RR IRBENE16     NOTO  27.8  24.6   114.4    37.3 2.319e+08 -131.2 0.3749   0.0094 1.0000      60      1190
0657+172 J0700+1709 rags28au 2018-02-18 15:20:01    C    RR MEDICINA     NOTO  22.4  24.6   263.6    13.9 8.663e+07 -148.7 0.6180   0.0045 1.0000      60      1190
0657+172 J0700+1709 rags28au 2018-02-18 15:20:01    C    LL IRBENE16 MEDICINA  27.8  22.4   138.6    24.4 1.516e+08 -121.2 0.5048   0.0048 1.0000      60      1190
0657+172 J0700+1709 rags28au 2018-02-18 15:20:01    C    LL IRBENE16     NOTO  27.8  24.6   140.4    37.3 2.319e+08 -131.2 0.5121   0.0054 1.0000      60      1190
0657+172 J0700+1709 rags28au 2018-02-18 15:20:01    C    LL MEDICINA     NOTO  22.4  24.6   249.8    13.9 8.663e+07 -148.7 0.6693   0.0034 1.0000      60      1190
0657+172 J0700+1709 rags28av 2018-02-18 17:26:02    L    RR  HARTRAO    TORUN  39.4  44.1   230.2    44.6 8.099e+08    2.5 0.4481   0.0022 1.0000      58      1167
0657+172 J0700+1709 rags28av 2018-02-18 17:26:02    L    RR  HARTRAO WSTRB-07  39.4  38.1    25.5    45.4 8.239e+08   -1.7 0.0638   0.0020 1.0000      58       757
0657+172 J0700+1709 rags28av 2018-02-18 17:26:02    L    RR RADIO-AS  HARTRAO   0.0  39.4     7.5   226.4 4.109e+09  -40.3 0.0516   0.0049 1.0919    1195      1195
0657+172 J0700+1709 rags28av 2018-02-18 17:26:02    L    RR RADIO-AS    TORUN   0.0  44.1     6.1   260.9 4.735e+09  -33.6 0.0312   0.0036 1.0919    1187      1187
0657+172 J0700+1709 rags28av 2018-02-18 17:26:02    L    RR    TORUN WSTRB-07  44.1  38.1    49.8     3.4 6.182e+07  -76.5 0.0799   0.0020 1.0000      58      1107
0657+172 J0700+1709 rags28av 2018-02-18 17:26:02    L    LL  HARTRAO    TORUN  39.4  44.1   165.6    44.6 8.099e+08    2.5 0.4429   0.0051 1.0000      58      1167
0657+172 J0700+1709 rags28av 2018-02-18 17:26:01    C    RR IRBENE16 MEDICINA  42.6  44.5   100.1    25.8 1.602e+08 -128.6 0.3526   0.0111 1.0000      60      1193
0657+172 J0700+1709 rags28av 2018-02-18 17:26:01    C    RR IRBENE16     NOTO  42.6  49.6    91.8    36.6 2.279e+08 -141.7 0.3821   0.0104 1.0000      60      1192
0657+172 J0700+1709 rags28av 2018-02-18 17:26:01    C    RR MEDICINA     NOTO  44.5  49.6   173.2    13.0 8.070e+07 -168.7 0.5628   0.0088 1.0000      60      1193
0657+172 J0700+1709 rags28av 2018-02-18 17:26:01    C    LL IRBENE16 MEDICINA  42.6  44.5   133.2    25.8 1.602e+08 -128.6 0.4691   0.0063 1.0000      60      1193
0657+172 J0700+1709 rags28av 2018-02-18 17:26:01    C    LL IRBENE16     NOTO  42.6  49.6   111.6    36.6 2.279e+08 -141.7 0.4807   0.0069 1.0000      60      1192
0657+172 J0700+1709 rags28av 2018-02-18 17:26:01    C    LL MEDICINA     NOTO  44.5  49.6   163.9    13.0 8.070e+07 -168.7 0.5915   0.0087 1.0000      60      1193
0657+172 J0700+1709 rags28ax 2018-02-19 17:22:00    L    RR EFLSBERG  HARTRAO  39.2  39.4   823.3    44.3 8.042e+08  177.3 0.4252   0.0070 1.0000      59      1179
