# RA AGN survey catalog ver 0.15
# Created on 2021-04-16 09:59:31 UTC
#
# Table columns description:
#  1. source   : B1950 source name
#  2. j2000    : J2000 source name
#  3. exper    : Experement code
#  4. date     : Experiment nominal start date
#  5. time     : Experiment nominal start time
#  6. band     : Frequency band code
#  7. polar    : Polarization
#  8. sta1     : First station name
#  9. sta2     : Second station name
# 10. elev1    : Source elevation at station one
# 11. elev2    : Source elevation at station two
# 12. snr      : Mean value of SNR
# 13. base_ml  : Baseline projection in Mega lambda
# 14. base_cm  : Baseline projection in centimeters
# 15. pa       : Baseline position angle in degrees
# 16. ampl     : Average correlated flux density in Jy
# 17. ampl_err : Correlated flux density error in Jy
# 18. coeff    : Flux density correction coefficient for coherent losses compensation
# 19. solint   : Mean value of the fringe fitting solution interval in seconds
# 20. data_len : Total data length used for correlated flux density calculation in seconds
#
#  Detection status of each observation is determined by signal-to-noise ratio
#  (SNR) and Probability of False Detection (PFD).
#
#    * SNR >= SNR(PFD=1e-4): "Yes"
#    * SNR >= SNR(PFD=1e-3) and delay < 0.5 ms and rate < 1e-12 s/s : "Yes"
#    * SNR(PFD=1e-2) <= SNR < SNR(PFD=1e-4): "Uncertain"
#    * SNR < SNR(PFD=1e-2): "No"
#
#  For RA AGN survey catalog only observations with status "Yes" is used.
#
#  Changes:
#  * 0.10
#    - Initial version.
#  * 0.11
#    - Split date-time column to two separate columns.
#  * 0.12
#    - PIMA 2.25: massive changes in handling bandpass computation, bandpass
#      normalization and re-normalization.
#  * 0.13
#    - Add column with J2000 source name.
#  * 0.14
#    - New bandpass calibration parameters: only phase solution with linear
#      interpolation.
#  * 0.15
#    - Add column names.
#
#
  source      j2000    exper       date     time band polar     sta1     sta2 elev1 elev2     snr base_ml   base_cm     pa   ampl ampl_err  coeff  solint  data_len
0657+172 J0700+1709 rags28be 2018-03-23 22:30:02    L    RR GBT-VLBA    TORUN  58.7  24.2  1725.2    34.2 6.214e+08   70.6 0.5268   0.0028 1.0000      58      1151
0657+172 J0700+1709 rags28be 2018-03-23 22:30:02    L    RR GBT-VLBA WSTRB-07  58.7  31.4   447.7    32.2 5.848e+08   71.8 0.1878   0.0008 1.0000      58      1162
0657+172 J0700+1709 rags28be 2018-03-23 22:30:02    L    RR RADIO-AS GBT-VLBA   0.0  58.7   268.4   109.7 1.991e+09   33.7 0.3128   0.0013 1.0000     117      1173
0657+172 J0700+1709 rags28be 2018-03-23 22:30:02    L    RR RADIO-AS    TORUN   0.0  24.3    30.0   138.6 2.515e+09   42.3 0.1934   0.0060 1.0000     118      1063
0657+172 J0700+1709 rags28be 2018-03-23 22:30:02    L    RR RADIO-AS WSTRB-07   0.0  31.4     7.7   136.5 2.477e+09   42.1 0.0645   0.0092 1.0919    1195      1195
0657+172 J0700+1709 rags28be 2018-03-23 22:30:02    L    RR    TORUN WSTRB-07  24.3  31.4   121.2     2.1 3.847e+07 -126.6 0.2669   0.0024 1.0000      58      1165
0657+172 J0700+1709 rags28be 2018-03-23 22:30:02    L    LL GBT-VLBA    TORUN  58.7  24.2  1541.1    34.2 6.214e+08   70.6 0.5667   0.0010 1.0000      58      1151
0657+172 J0700+1709 rags28be 2018-03-23 22:30:02    L    LL GBT-VLBA WSTRB-07  58.7  31.4    47.6    32.2 5.848e+08   71.8 0.0200   0.0025 1.0000      58      1162
0657+172 J0700+1709 rags28be 2018-03-23 22:30:02    L    LL    TORUN WSTRB-07  24.3  31.4    11.1     2.1 3.847e+07 -126.6 0.0348   0.0129 1.0155     394      1183
0657+172 J0700+1709 rags28be 2018-03-23 22:30:00    C    RR EFLSBERG IRBENE16  31.8  22.2   418.6    12.9 8.042e+07  -15.6 0.3447   0.0081 1.0000      60      1192
0657+172 J0700+1709 rags28be 2018-03-23 22:30:00    C    RR EFLSBERG     NOTO  31.8  27.1   739.2    25.4 1.581e+08  129.5 0.4403   0.0026 1.0000      60      1192
0657+172 J0700+1709 rags28be 2018-03-23 22:30:00    C    RR IRBENE16     NOTO  22.2  27.1   105.9    36.8 2.287e+08  141.1 0.3335   0.0080 1.0000      60      1192
0657+172 J0700+1709 rags28be 2018-03-23 22:30:00    C    LL EFLSBERG IRBENE16  31.8  22.2   597.5    12.9 8.042e+07  -15.6 0.4592   0.0046 1.0000      60      1192
0657+172 J0700+1709 rags28be 2018-03-23 22:30:00    C    LL EFLSBERG     NOTO  31.8  27.1   689.3    25.4 1.581e+08  129.5 0.4527   0.0037 1.0000      60      1192
0657+172 J0700+1709 rags28be 2018-03-23 22:30:00    C    LL IRBENE16     NOTO  22.2  27.1   133.0    36.8 2.287e+08  141.1 0.4418   0.0059 1.0000      60      1192
0657+172 J0700+1709 rags28be 2018-03-23 22:30:00    C    LL RADIO-AS EFLSBERG   0.0  31.8    18.0   398.2 2.476e+09   42.7 0.0770   0.0027 1.0002     120      1196
0657+172 J0700+1709 rags28be 2018-03-23 22:30:00    C    LL RADIO-AS     NOTO   0.0  27.1     6.0   400.4 2.490e+09   46.3 0.1457   0.0226 1.0035     299       299
0657+172 J0700+1709 rags28bf 2018-03-24 11:30:02    C    RR IRBENE16    TORUN  14.9  12.3   114.5     7.3 4.559e+07 -117.0 0.1412   0.0070 1.0000      59      1123
0657+172 J0700+1709 rags28bf 2018-03-24 11:30:02    C    LL IRBENE16    TORUN  14.9  12.3   132.4     7.3 4.559e+07 -117.0 0.1111   0.0046 1.0000      59      1123
0657+172 J0700+1709 rags28bg 2018-03-24 14:30:00    L    RR EFLSBERG    TORUN  32.8  38.7  1414.8     3.7 6.631e+07   88.3 0.0245   0.0006 1.0000     107      1172
0657+172 J0700+1709 rags28bg 2018-03-24 14:30:00    L    RR EFLSBERG WSTRB-07  32.8  32.0   507.5     1.4 2.573e+07   41.1 0.2823   0.0010 1.0000      59      1178
0657+172 J0700+1709 rags28bg 2018-03-24 14:30:00    L    RR RADIO-AS EFLSBERG   0.0  32.8    23.8   241.9 4.389e+09  -15.5 0.0467   0.0014 1.0000     119      1192
#0657+172 J0700+1709 rags28bg 2018-03-24 14:30:00    L    RR RADIO-AS    TORUN   0.0  38.7     6.1   241.1 4.374e+09  -14.6 0.0000   0.0000 1.0000       0         0
0657+172 J0700+1709 rags28bg 2018-03-24 14:30:00    L    RR    TORUN WSTRB-07  38.7  32.1   171.3     2.9 5.235e+07  -70.5 0.0097   0.0012 1.0000     107      1172
0657+172 J0700+1709 rags28bg 2018-03-24 14:30:00    L    LL EFLSBERG    TORUN  32.8  38.7  1051.8     3.7 6.631e+07   88.3 0.1688   0.0069 1.0000      58      1108
0657+172 J0700+1709 rags28bg 2018-03-24 14:30:00    L    LL EFLSBERG WSTRB-07  32.8  32.0    87.3     1.4 2.573e+07   41.1 0.0494   0.0008 1.0000      59      1178
0657+172 J0700+1709 rags28bg 2018-03-24 14:30:01    C    RR  HARTRAO IRBENE16  33.3  38.2    62.8   135.9 8.452e+08    7.9 0.2875   0.0081 1.0000      59      1189
0657+172 J0700+1709 rags28bg 2018-03-24 14:30:01    C    LL  HARTRAO IRBENE16  33.3  38.2    85.4   135.9 8.452e+08    7.9 0.3848   0.0051 1.0000      59      1189
0657+172 J0700+1709 rags28bh 2018-03-24 17:26:00    L    RR EFLSBERG    TORUN  54.6  54.0  2132.2     4.7 8.521e+07   76.6 0.7794   0.0063 1.0000      58      1169
0657+172 J0700+1709 rags28bh 2018-03-24 17:26:00    L    RR EFLSBERG WSTRB-07  54.6  52.3   628.9     1.2 2.209e+07    9.2 0.3104   0.0022 1.0000      59      1176
0657+172 J0700+1709 rags28bh 2018-03-24 17:26:00    L    RR RADIO-AS EFLSBERG   0.0  54.6    34.0   262.4 4.761e+09  -16.1 0.0494   0.0013 1.0000     133      1193
0657+172 J0700+1709 rags28bh 2018-03-24 17:26:00    L    RR RADIO-AS    TORUN   0.0  54.0    11.1   262.2 4.758e+09  -15.0 0.0587   0.0043 1.0155     395      1186
0657+172 J0700+1709 rags28bh 2018-03-24 17:26:00    L    RR    TORUN WSTRB-07  54.0  52.3   183.4     4.4 7.941e+07  -88.5 0.3123   0.0017 1.0000      58      1165
0657+172 J0700+1709 rags28bh 2018-03-24 17:26:00    L    LL EFLSBERG    TORUN  54.6  54.0  1798.7     4.7 8.521e+07   76.6 0.9230   0.0053 1.0000      58      1169
0657+172 J0700+1709 rags28bh 2018-03-24 17:26:00    L    LL EFLSBERG WSTRB-07  54.6  52.3    83.0     1.2 2.209e+07    9.2 0.0429   0.0008 1.0000      59      1176
0657+172 J0700+1709 rags28bh 2018-03-24 17:26:00    L    LL    TORUN WSTRB-07  54.0  52.3    14.2     4.4 7.941e+07  -88.5 0.0406   0.0030 1.0015     237      1183
0657+172 J0700+1709 rags28bh 2018-03-24 17:26:02    C    RR  HARTRAO IRBENE16  46.6  49.6    66.1   136.0 8.460e+08   -4.0 0.2725   0.0078 1.0000      60      1191
0657+172 J0700+1709 rags28bh 2018-03-24 17:26:02    C    LL  HARTRAO IRBENE16  46.6  49.6    91.5   136.0 8.460e+08   -4.0 0.3640   0.0050 1.0000      60      1191
0657+172 J0700+1709 rags28bi 2018-03-24 22:26:02    L    RR GBT-VLBA    TORUN  58.7  24.3  1481.9    34.2 6.214e+08   70.6 0.5215   0.0026 1.0000      58      1151
0657+172 J0700+1709 rags28bi 2018-03-24 22:26:02    L    RR GBT-VLBA WSTRB-07  58.7  31.4   495.9    32.2 5.848e+08   71.8 0.1620   0.0007 1.0000      58      1162
0657+172 J0700+1709 rags28bi 2018-03-24 22:26:02    L    RR RADIO-AS GBT-VLBA   0.0  58.7    32.8   304.7 5.530e+09  -22.2 0.0372   0.0010 1.0000     130      1173
0657+172 J0700+1709 rags28bi 2018-03-24 22:26:02    L    RR    TORUN WSTRB-07  24.3  31.4   114.1     2.1 3.849e+07 -126.6 0.2282   0.0017 1.0000      58      1165
0657+172 J0700+1709 rags28bi 2018-03-24 22:26:02    L    LL GBT-VLBA    TORUN  58.7  24.3  1311.1    34.2 6.214e+08   70.6 0.5581   0.0011 1.0000      58      1151
0657+172 J0700+1709 rags28bi 2018-03-24 22:26:02    L    LL GBT-VLBA WSTRB-07  58.7  31.4    53.1    32.2 5.848e+08   71.8 0.0201   0.0026 1.0000      58       982
0657+172 J0700+1709 rags28bi 2018-03-24 22:26:02    L    LL    TORUN WSTRB-07  24.3  31.4    10.2     2.1 3.849e+07 -126.6 0.0312   0.0115 1.0155     394      1183
0657+172 J0700+1709 rags28bi 2018-03-24 22:26:00    C    RR EFLSBERG IRBENE16  31.8  22.2   405.5    12.9 8.041e+07  -15.6 0.3441   0.0083 1.0000      60      1191
0657+172 J0700+1709 rags28bi 2018-03-24 22:26:00    C    RR EFLSBERG YEBES40M  31.8  40.8  1095.2    17.4 1.083e+08  168.8 0.4697   0.0024 1.0000      60      1191
0657+172 J0700+1709 rags28bi 2018-03-24 22:26:00    C    RR IRBENE16 YEBES40M  22.2  40.8   156.3    30.3 1.886e+08  166.9 0.3704   0.0089 1.0000      60      1191
0657+172 J0700+1709 rags28bi 2018-03-24 22:26:00    C    LL EFLSBERG IRBENE16  31.8  22.2   570.1    12.9 8.041e+07  -15.6 0.4497   0.0044 1.0000      60      1191
0657+172 J0700+1709 rags28bi 2018-03-24 22:26:00    C    LL EFLSBERG YEBES40M  31.8  40.8  1117.1    17.4 1.083e+08  168.8 0.4897   0.0025 1.0000      60      1191
0657+172 J0700+1709 rags28bi 2018-03-24 22:26:00    C    LL IRBENE16 YEBES40M  22.2  40.8   209.9    30.3 1.886e+08  166.9 0.5100   0.0052 1.0000      60      1191
0657+172 J0700+1709 rags28bi 2018-03-24 22:26:00    C    LL RADIO-AS EFLSBERG   0.0  31.8     8.5   883.7 5.496e+09  -16.0 0.0358   0.0046 1.0092     600      1199
0657+172 J0700+1709 rags28bj 2018-03-25 13:26:00    L    RR EFLSBERG WSTRB-07  23.3  23.1   529.3     1.5 2.656e+07   47.5 0.2899   0.0016 1.0000      59      1177
0657+172 J0700+1709 rags28bj 2018-03-25 13:26:00    L    RR RADIO-AS EFLSBERG   0.0  23.3     9.9   449.3 8.152e+09  -30.4 0.0190   0.0015 1.0156     399      1198
0657+172 J0700+1709 rags28bj 2018-03-25 13:26:00    L    LL EFLSBERG WSTRB-07  23.3  23.1    82.6     1.5 2.656e+07   47.5 0.0506   0.0008 1.0000      59      1177
0657+172 J0700+1709 rags28bj 2018-03-25 13:26:04    C    RR  HARTRAO IRBENE16  22.8  30.9    55.3   135.5 8.426e+08   11.3 0.2725   0.0088 1.0000      59      1007
0657+172 J0700+1709 rags28bj 2018-03-25 13:26:04    C    LL  HARTRAO IRBENE16  22.8  30.9    75.9   135.5 8.426e+08   11.3 0.3665   0.0049 1.0000      59      1187
0657+172 J0700+1709 rags28bk 2018-03-25 17:22:00    L    RR EFLSBERG    TORUN  54.8  54.0  2060.5     4.7 8.516e+07   76.4 0.7917   0.0022 1.0000      58       993
0657+172 J0700+1709 rags28bk 2018-03-25 17:22:00    L    RR EFLSBERG WSTRB-07  54.6  52.3   647.0     1.2 2.209e+07    9.2 0.3588   0.0013 1.0000      59      1177
0657+172 J0700+1709 rags28bk 2018-03-25 17:22:00    L    RR RADIO-AS EFLSBERG   0.0  54.6    10.3   468.9 8.508e+09  -30.3 0.0190   0.0017 1.0067     300       900
0657+172 J0700+1709 rags28bk 2018-03-25 17:22:00    L    RR    TORUN WSTRB-07  54.0  52.5   158.7     4.4 7.953e+07  -88.7 0.3587   0.0023 1.0000      58       992
0657+172 J0700+1709 rags28bk 2018-03-25 17:22:00    L    LL EFLSBERG    TORUN  54.8  54.0  1756.8     4.7 8.516e+07   76.4 0.8803   0.0035 1.0000      58       993
0657+172 J0700+1709 rags28bk 2018-03-25 17:22:00    L    LL EFLSBERG WSTRB-07  54.6  52.3   226.8     1.2 2.209e+07    9.2 0.1404   0.0016 1.0000      59      1177
0657+172 J0700+1709 rags28bk 2018-03-25 17:22:00    L    LL    TORUN WSTRB-07  54.0  52.5    30.6     4.4 7.953e+07  -88.7 0.1138   0.0034 1.0000      58       636
0657+172 J0700+1709 rags28bk 2018-03-25 17:22:03    C    RR  HARTRAO IRBENE16  46.6  49.6    61.9   136.0 8.460e+08   -4.0 0.2686   0.0067 1.0000      60      1190
0657+172 J0700+1709 rags28bk 2018-03-25 17:22:03    C    LL  HARTRAO IRBENE16  46.6  49.6    82.9   136.0 8.460e+08   -4.0 0.3458   0.0045 1.0000      60      1190
0657+172 J0700+1709 rags28bl 2018-03-25 22:22:05    L    RR GBT-VLBA WSTRB-07  58.7  31.4   502.1    32.2 5.849e+08   71.8 0.1588   0.0006 1.0000      58      1162
0657+172 J0700+1709 rags28bl 2018-03-25 22:22:05    L    RR RADIO-AS GBT-VLBA   0.0  58.7     9.7   505.5 9.172e+09  -32.9 0.0109   0.0015 1.0334     590      1180
0657+172 J0700+1709 rags28bl 2018-03-25 22:22:05    L    LL GBT-VLBA WSTRB-07  58.7  31.4    97.2    32.2 5.849e+08   71.8 0.0346   0.0004 1.0000      58      1162
0657+172 J0700+1709 rags28bl 2018-03-25 22:22:00    C    RR EFLSBERG IRBENE16  31.8  22.2   287.6    12.9 8.040e+07  -15.5 0.3021   0.0201 1.0000      60       960
0657+172 J0700+1709 rags28bl 2018-03-25 22:22:00    C    LL EFLSBERG IRBENE16  31.8  22.2   409.1    12.9 8.040e+07  -15.5 0.3952   0.0267 1.0000      60       960
0657+172 J0700+1709 rags28bm 2018-03-26 13:22:02    L    RR EFLSBERG    TORUN  23.3  30.2  1734.9     2.8 5.082e+07   93.0 0.7902   0.0038 1.0000      58      1167
0657+172 J0700+1709 rags28bm 2018-03-26 13:22:02    L    RR EFLSBERG WSTRB-07  23.3  23.1   511.3     1.5 2.656e+07   47.5 0.3843   0.0022 1.0000      59      1178
0657+172 J0700+1709 rags28bm 2018-03-26 13:22:02    L    RR    TORUN WSTRB-07  30.2  23.1   168.8     2.1 3.737e+07  -56.6 0.3893   0.0030 1.0000      58      1165
0657+172 J0700+1709 rags28bm 2018-03-26 13:22:02    L    LL EFLSBERG    TORUN  23.3  30.2  1410.0     2.8 5.082e+07   93.0 0.7983   0.0062 1.0000      58      1167
0657+172 J0700+1709 rags28bm 2018-03-26 13:22:02    L    LL EFLSBERG WSTRB-07  23.3  23.1   192.1     1.5 2.656e+07   47.5 0.1585   0.0018 1.0000      59      1178
0657+172 J0700+1709 rags28bm 2018-03-26 13:22:02    L    LL    TORUN WSTRB-07  30.2  23.1    31.2     2.1 3.737e+07  -56.6 0.1086   0.0036 1.0000      58       987
0657+172 J0700+1709 rags28bm 2018-03-26 13:22:02    C    RR  HARTRAO IRBENE16  22.8  30.8    55.7   135.5 8.426e+08   11.3 0.2770   0.0085 1.0000      59      1009
0657+172 J0700+1709 rags28bm 2018-03-26 13:22:02    C    LL  HARTRAO IRBENE16  22.8  30.8    73.2   135.5 8.426e+08   11.3 0.3466   0.0051 1.0000      59      1189
0657+172 J0700+1709 rags28bn 2018-03-26 17:18:02    L    RR EFLSBERG    TORUN  54.6  54.0  2210.0     4.7 8.521e+07   76.6 0.7604   0.0023 1.0000      58      1168
0657+172 J0700+1709 rags28bn 2018-03-26 17:18:02    L    RR EFLSBERG WSTRB-07  54.6  52.3   636.4     1.2 2.210e+07    9.2 0.3459   0.0014 1.0000      59      1177
0657+172 J0700+1709 rags28bn 2018-03-26 17:18:02    L    RR    TORUN WSTRB-07  54.0  52.3   168.6     4.4 7.940e+07  -88.5 0.3450   0.0031 1.0000      58      1165
0657+172 J0700+1709 rags28bn 2018-03-26 17:18:02    L    LL EFLSBERG    TORUN  54.6  54.0  1975.2     4.7 8.521e+07   76.6 0.8304   0.0038 1.0000      58      1168
0657+172 J0700+1709 rags28bn 2018-03-26 17:18:02    L    LL EFLSBERG WSTRB-07  54.6  52.3   223.9     1.2 2.210e+07    9.2 0.1384   0.0010 1.0000      59      1177
0657+172 J0700+1709 rags28bn 2018-03-26 17:18:02    L    LL    TORUN WSTRB-07  54.0  52.3    33.1     4.4 7.940e+07  -88.5 0.1023   0.0027 1.0000      59       949
0657+172 J0700+1709 rags28bn 2018-03-26 17:18:02    C    RR  HARTRAO IRBENE16  46.6  49.6    62.9   136.0 8.460e+08   -4.0 0.2651   0.0074 1.0000      60      1190
0657+172 J0700+1709 rags28bn 2018-03-26 17:18:02    C    LL  HARTRAO IRBENE16  46.6  49.6    85.3   136.0 8.460e+08   -4.0 0.3388   0.0046 1.0000      60      1190
0657+172 J0700+1709 rags28bo 2018-03-26 22:18:02    L    RR  ARECIBO    TORUN  77.4  24.3  2357.8    36.6 6.645e+08   49.3 0.7469   0.0074 1.0000      59      1174
0657+172 J0700+1709 rags28bo 2018-03-26 22:18:02    L    RR  ARECIBO WSTRB-07  77.4  31.4   767.9    34.5 6.260e+08   49.0 0.2120   0.0035 1.0000      58      1164
0657+172 J0700+1709 rags28bo 2018-03-26 22:18:02    L    RR GBT-VLBA  ARECIBO  58.7  77.4 12872.9    13.4 2.426e+08  159.9 0.7657   0.0090 1.0000      57      1149
0657+172 J0700+1709 rags28bo 2018-03-26 22:18:02    L    RR GBT-VLBA    TORUN  58.7  24.3  1413.0    34.3 6.216e+08   70.7 0.5660   0.0027 1.0000      58      1151
0657+172 J0700+1709 rags28bo 2018-03-26 22:18:02    L    RR GBT-VLBA WSTRB-07  58.7  31.4   547.0    32.2 5.850e+08   71.8 0.1864   0.0006 1.0000      58      1162
0657+172 J0700+1709 rags28bo 2018-03-26 22:18:02    L    RR    TORUN WSTRB-07  24.3  31.4   118.3     2.1 3.852e+07 -126.5 0.2319   0.0019 1.0000      58      1165
0657+172 J0700+1709 rags28bo 2018-03-26 22:18:02    L    LL  ARECIBO    TORUN  77.4  24.3  2061.4    36.6 6.645e+08   49.3 0.7735   0.0063 1.0000      59      1174
0657+172 J0700+1709 rags28bo 2018-03-26 22:18:02    L    LL  ARECIBO WSTRB-07  77.4  31.4   133.6    34.5 6.260e+08   49.0 0.0502   0.0064 1.0000      58      1164
0657+172 J0700+1709 rags28bo 2018-03-26 22:18:02    L    LL GBT-VLBA  ARECIBO  58.7  77.4 15088.3    13.4 2.426e+08  159.9 0.8970   0.0019 1.0000      57      1149
0657+172 J0700+1709 rags28bo 2018-03-26 22:18:02    L    LL GBT-VLBA    TORUN  58.7  24.3  1274.2    34.3 6.216e+08   70.7 0.5561   0.0026 1.0000      58      1151
0657+172 J0700+1709 rags28bo 2018-03-26 22:18:02    L    LL GBT-VLBA WSTRB-07  58.7  31.4    56.3    32.2 5.850e+08   71.8 0.0228   0.0029 1.0000      58       922
0657+172 J0700+1709 rags28bo 2018-03-26 22:18:02    L    LL    TORUN WSTRB-07  24.3  31.4    10.9     2.1 3.852e+07 -126.5 0.0314   0.0101 1.0162     391      1172
0657+172 J0700+1709 rags28bo 2018-03-26 22:18:00    C    RR EFLSBERG IRBENE16  31.8  22.2   366.5    12.9 8.039e+07  -15.5 0.3437   0.0082 1.0000      60      1192
0657+172 J0700+1709 rags28bo 2018-03-26 22:18:00    C    RR EFLSBERG  SVETLOE  31.8  18.1   959.7    18.6 1.159e+08  -20.7 0.4482   0.0028 1.0000      60      1191
0657+172 J0700+1709 rags28bo 2018-03-26 22:18:00    C    RR EFLSBERG YEBES40M  31.8  40.8  1001.2    17.4 1.083e+08  168.8 0.4627   0.0026 1.0000      60      1192
0657+172 J0700+1709 rags28bo 2018-03-26 22:18:00    C    RR IRBENE16  SVETLOE  22.2  18.1   172.1     5.9 3.658e+07  -32.1 0.3775   0.0076 1.0000      60      1191
0657+172 J0700+1709 rags28bo 2018-03-26 22:18:00    C    RR IRBENE16 YEBES40M  22.2  40.8   164.4    30.3 1.886e+08  167.0 0.3714   0.0092 1.0000      60      1192
0657+172 J0700+1709 rags28bo 2018-03-26 22:18:00    C    RR  SVETLOE YEBES40M  18.1  40.8   396.8    35.9 2.235e+08  163.9 0.4283   0.0017 1.0000      60      1191
0657+172 J0700+1709 rags28bo 2018-03-26 22:18:00    C    LL EFLSBERG IRBENE16  31.8  22.2   526.2    12.9 8.039e+07  -15.5 0.4708   0.0055 1.0000      60      1192
0657+172 J0700+1709 rags28bo 2018-03-26 22:18:00    C    LL EFLSBERG  SVETLOE  31.8  18.1   989.9    18.6 1.159e+08  -20.7 0.5023   0.0029 1.0000      60      1191
0657+172 J0700+1709 rags28bo 2018-03-26 22:18:00    C    LL EFLSBERG YEBES40M  31.8  40.8  1049.6    17.4 1.083e+08  168.8 0.5134   0.0036 1.0000      60      1192
0657+172 J0700+1709 rags28bo 2018-03-26 22:18:00    C    LL IRBENE16  SVETLOE  22.2  18.1   232.4     5.9 3.658e+07  -32.1 0.5239   0.0047 1.0000      60      1191
0657+172 J0700+1709 rags28bo 2018-03-26 22:18:00    C    LL IRBENE16 YEBES40M  22.2  40.8   218.1    30.3 1.886e+08  167.0 0.5077   0.0046 1.0000      60      1192
0657+172 J0700+1709 rags28bo 2018-03-26 22:18:00    C    LL  SVETLOE YEBES40M  18.1  40.8   384.4    35.9 2.235e+08  163.9 0.4780   0.0016 1.0000      60      1191
0657+172 J0700+1709 rags28bq 2018-03-27 22:14:01    C    RR  ARECIBO IRBENE16  77.3  22.2   429.7   106.9 6.648e+08   45.0 0.1884   0.0072 1.0000      59      1182
0657+172 J0700+1709 rags28bq 2018-03-27 22:14:01    C    LL  ARECIBO IRBENE16  77.3  22.2   547.9   106.9 6.648e+08   45.0 0.2292   0.0079 1.0000      59      1182
0657+172 J0700+1709 rags28br 2018-03-28 17:10:02    L    RR    TORUN ZELENCHK  53.9  58.5   595.8    10.8 1.951e+08  114.3 0.8024   0.0031 1.0000      58      1167
0657+172 J0700+1709 rags28br 2018-03-28 17:10:02    L    LL    TORUN ZELENCHK  53.9  58.5   459.2    10.8 1.951e+08  114.3 0.8459   0.0021 1.0000      58      1167
0657+172 J0700+1709 rags28br 2018-03-28 17:10:03    C    RR  HARTRAO YEBES40M  46.6  58.3   153.4   119.8 7.451e+08  -20.7 0.3621   0.0050 1.0000      59      1190
0657+172 J0700+1709 rags28br 2018-03-28 17:10:03    C    LL  HARTRAO YEBES40M  46.6  58.3   155.2   119.8 7.451e+08  -20.7 0.3831   0.0047 1.0000      59      1190
0657+172 J0700+1709 rags28bs 2018-03-28 22:10:02    L    RR  ARECIBO    TORUN  77.3  24.3  2591.0    36.6 6.647e+08   49.3 0.7573   0.0057 1.0000      59      1174
0657+172 J0700+1709 rags28bs 2018-03-28 22:10:02    L    RR GBT-VLBA  ARECIBO  58.7  77.4 12620.0    13.4 2.426e+08  159.9 0.8107   0.0094 1.0000      57      1149
0657+172 J0700+1709 rags28bs 2018-03-28 22:10:02    L    RR GBT-VLBA    TORUN  58.7  24.3  1566.7    34.3 6.217e+08   70.7 0.5412   0.0034 1.0000      58      1151
0657+172 J0700+1709 rags28bs 2018-03-28 22:10:02    L    LL  ARECIBO    TORUN  77.3  24.3  2235.3    36.6 6.647e+08   49.3 0.8365   0.0083 1.0000      59      1174
0657+172 J0700+1709 rags28bs 2018-03-28 22:10:02    L    LL GBT-VLBA  ARECIBO  58.7  77.4 14235.5    13.4 2.426e+08  159.9 0.9242   0.0018 1.0000      57      1149
0657+172 J0700+1709 rags28bs 2018-03-28 22:10:02    L    LL GBT-VLBA    TORUN  58.7  24.3  1400.6    34.3 6.217e+08   70.7 0.5436   0.0031 1.0000      58      1151
0657+172 J0700+1709 rags28bt 2018-03-29 17:06:01    L    RR   BADARY    TORUN  19.2  53.9   378.9    23.1 4.200e+08 -101.7 0.2927   0.0058 1.0000      58      1168
0657+172 J0700+1709 rags28bt 2018-03-29 17:06:01    L    LL   BADARY    TORUN  19.2  53.9   308.8    23.1 4.200e+08 -101.7 0.3325   0.0010 1.0000      58      1168
0657+172 J0700+1709 rags28bt 2018-03-29 17:06:01    C    RR  HARTRAO IRBENE16  46.6  49.6    76.4   136.0 8.460e+08   -4.0 0.3305   0.0097 1.0000      60      1192
0657+172 J0700+1709 rags28bt 2018-03-29 17:06:01    C    RR  HARTRAO MEDICINA  46.6  61.3   148.7   118.9 7.392e+08  -10.9 0.3900   0.0026 1.0000      60      1192
0657+172 J0700+1709 rags28bt 2018-03-29 17:06:01    C    RR  HARTRAO     NOTO  46.6  69.4    66.8   105.8 6.581e+08  -10.5 0.3529   0.0038 1.0000      60      1192
0657+172 J0700+1709 rags28bt 2018-03-29 17:06:01    C    RR IRBENE16 MEDICINA  49.6  61.3   211.2    23.0 1.428e+08 -145.7 0.4674   0.0116 1.0000      60      1192
0657+172 J0700+1709 rags28bt 2018-03-29 17:06:01    C    RR IRBENE16     NOTO  49.6  69.4    83.7    33.1 2.060e+08 -162.9 0.3779   0.0118 1.0000      60      1193
0657+172 J0700+1709 rags28bt 2018-03-29 17:06:01    C    RR MEDICINA     NOTO  61.3  69.4   164.9    13.1 8.123e+07  165.9 0.4481   0.0041 1.0000      60      1192
0657+172 J0700+1709 rags28bt 2018-03-29 17:06:01    C    LL  HARTRAO IRBENE16  46.6  49.6    86.4   136.0 8.460e+08   -4.0 0.3560   0.0041 1.0000      60      1192
0657+172 J0700+1709 rags28bt 2018-03-29 17:06:01    C    LL  HARTRAO MEDICINA  46.6  61.3   151.9   118.9 7.392e+08  -10.9 0.3990   0.0025 1.0000      60      1192
0657+172 J0700+1709 rags28bt 2018-03-29 17:06:01    C    LL  HARTRAO     NOTO  46.6  69.4    53.2   105.8 6.581e+08  -10.5 0.3354   0.0046 1.0000      60      1192
0657+172 J0700+1709 rags28bt 2018-03-29 17:06:01    C    LL IRBENE16 MEDICINA  49.6  61.3   233.5    23.0 1.428e+08 -145.7 0.4988   0.0038 1.0000      60      1192
